<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.05.02	84.302	84.397	84.272	84.370	3072	0	0
2021.05.03	84.370	84.750	84.357	84.633	96062	0	0
2021.05.04	84.633	84.736	83.930	84.329	111141	0	0
2021.05.05	84.329	84.705	84.292	84.657	101301	0	0
2021.05.06	84.657	84.931	84.242	84.918	133866	0	0
2021.05.07	84.918	85.315	84.721	85.189	143425	0	0
2021.05.09	85.229	85.330	85.138	85.320	5135	0	0
2021.05.10	85.320	85.803	85.129	85.340	121368	0	0
2021.05.11	85.340	85.443	84.821	85.207	161693	0	0
2021.05.12	85.207	85.260	84.594	84.793	212191	0	0
2021.05.13	84.793	84.838	84.292	84.588	177360	0	0
2021.05.14	84.588	85.170	84.526	85.110	112203	0	0
2021.05.16	84.933	85.138	84.810	85.109	4074	0	1
2021.05.17	85.109	85.112	84.454	84.919	122572	0	0
2021.05.18	84.919	85.147	84.864	84.951	35744	0	0
